Titulo;Genero;Linguagens;Categoria;Disponibilidade_Geografica;Duracao;IMDb_Score;Rotten_Tomatoes_Score;Metacritic_Score;Premios_Recebidos;Premios_Indicados;Receita_Bilheteria;Data_Lancamento_Netflix;Total_Score
Sextuplets;Comedy;English;Movie;36;1-2 hour;4.4;1.4;2.1;0.0;0.0;NAO_DEFINIDO;2019-08-16;2.6333333333333333
Escape Room;Action;English;Movie;15;1-2 hour;6.4;5.1;4.8;1.0;7.0;2;2019-08-15;5.433333333333333
Finding Steve McQueen;Crime;English;Movie;1;1-2 hour;6.2;4.6;5.3;0.0;0.0;NAO_DEFINIDO;2019-08-15;5.366666666666667
London Fields;Crime;English;Movie;10;1-2 hour;4.1;0.0;1.6;0.0;1.0;1;2019-08-09;1.8999999999999997
Roll Red Roll;Documentary;English;Movie;35;1-2 hour;7.1;10.0;8.3;6.0;2.0;NAO_DEFINIDO;2019-08-08;8.466666666666667
Fahrenheit 11/9;Documentary;English;Movie;1;> 2 hrs;7.0;8.2;6.9;3.0;6.0;1;2019-08-07;7.366666666666667
Screwball;Documentary;English;Movie;36;1-2 hour;7.1;9.4;7.2;2.0;1.0;1;2019-08-05;7.900000000000001
Mollys Game;Biography;English;Movie;8;> 2 hrs;7.4;8.1;7.1;7.0;6.350078492935636;1;2019-08-05;7.533333333333334
A Star Is Born;Drama;English;Movie;10;> 2 hrs;7.6;9.0;8.8;3.609665427509294;6.350078492935636;2;2019-08-03;8.466666666666667
Otherhood;Comedy;English;Movie;36;1-2 hour;6.1;2.3;3.8;1.0;0.0;NAO_DEFINIDO;2019-08-02;4.066666666666666
Miss Bala;Action;English, Spanish;Movie;14;1-2 hour;5.8;2.1;4.1;0.0;0.0;1;2019-08-02;3.9999999999999996
Now and Then;Comedy;English;Movie;1;1-2 hour;6.8;3.2;5.0;0.0;1.0;1;2019-08-01;5.0
Jungle;Action;English, Spanish, German;Movie;1;1-2 hour;6.7;6.0;4.8;2.0;5.0;NAO_DEFINIDO;2019-08-01;5.833333333333333
The Mercy;Adventure;English, Spanish;Movie;5;1-2 hour;6.0;7.4;6.0;1.0;0.0;1;2019-08-01;6.466666666666666
The Rider;Drama;English, Spanish, Sioux;Movie;2;1-2 hour;7.4;9.7;9.2;3.609665427509294;6.350078492935636;1;2019-08-01;8.766666666666667
Sorry to Bother You;Comedy;English;Movie;16;1-2 hour;6.9;9.3;8.0;3.609665427509294;6.350078492935636;1;2019-08-01;8.066666666666668
Overlord;Action;English, German, French;Movie;20;1-2 hour;6.6;8.1;6.0;2.0;6.0;1;2019-08-01;6.8999999999999995
The Salesman;Drama;Persian, English;Movie;1;> 2 hrs;7.8;9.6;8.5;3.609665427509294;6.350078492935636;1;2019-08-01;8.633333333333333
I Still Know What You Did Last Summer;Horror;English;Movie;3;1-2 hour;4.7;0.7;2.1;5.0;7.0;1;2019-08-01;2.5000000000000004
Bumblebee;Action;English;Movie;23;1-2 hour;6.8;9.1;6.6;2.0;13.0;2;2019-08-01;7.5
A Brighter Summer Day;Crime;Mandarin, Min Nan, Shanghainese, English;Movie;1;> 2 hrs;8.4;10.0;9.0;10.0;15.0;NAO_DEFINIDO;2019-08-01;9.133333333333333
Are We Done Yet?;Comedy;English;Movie;36;1-2 hour;4.3;0.8;3.6;0.0;3.0;1;2019-08-01;2.9000000000000004
Tomorrow When the War Began;Action;English;Series;1;< 30 minutes;6.2;6.4;5.4;8.0;14.0;1;2019-07-27;6.0
Papillon;Adventure;English, Spanish;Movie;7;> 2 hrs;7.2;5.2;5.1;0.0;0.0;1;2019-07-27;5.833333333333333
Anna and the Apocalypse;Comedy;English;Movie;3;1-2 hour;6.0;7.7;6.3;9.0;12.0;1;2019-07-26;6.666666666666667
Replicas;Drama;English;Movie;13;1-2 hour;5.5;1.1;1.9;0.0;1.0;1;2019-07-25;2.8333333333333335
Darkest Hour;Biography;English, French, German;Movie;2;> 2 hrs;7.4;8.4;7.5;3.609665427509294;6.350078492935636;2;2019-07-25;7.766666666666667
Unfriended: Dark Web;Horror;English, American Sign Language, Indonesian;Movie;3;1-2 hour;5.9;6.0;5.3;0.0;0.0;1;2019-07-20;5.733333333333333
Predator 2;Action;English;Movie;7;1-2 hour;6.3;3.1;4.6;1.0;4.0;1;2019-07-19;4.666666666666666
The Monkey King 3;Action;Mandarin, English;Movie;2;1-2 hour;5.5;3.3;5.1;1.0;4.0;1;2019-07-19;4.633333333333333
Kamikaze Girls;Comedy;Japanese, French, English;Movie;1;1-2 hour;7.2;6.2;5.6;3.609665427509294;3.0;1;2019-07-19;6.333333333333333
Johnny English Strikes Again;Action;English, Russian, French, German;Movie;9;1-2 hour;6.2;3.7;3.9;1.0;0.0;1;2019-07-18;4.6000000000000005
A Simple Favor;Comedy;English;Movie;9;1-2 hour;6.8;8.4;6.7;3.0;4.0;2;2019-07-14;7.3
Poms;Comedy;English;Movie;5;1-2 hour;5.9;3.5;3.6;0.0;2.0;1;2019-07-13;4.333333333333333
After;Drama;English;Movie;11;1-2 hour;5.3;1.8;3.0;4.0;0.0;1;2019-07-12;3.366666666666667
Point Blank;Action;English;Movie;36;1-2 hour;5.7;3.8;3.7;0.0;1.0;NAO_DEFINIDO;2019-07-12;4.3999999999999995
Cities of Last Things;Crime;Mandarin, English, French;Movie;33;1-2 hour;6.2;8.1;6.6;6.0;6.350078492935636;NAO_DEFINIDO;2019-07-11;6.966666666666666
Upgrade;Action;English, Dutch;Movie;7;1-2 hour;7.5;8.8;6.7;3.0;6.350078492935636;1;2019-07-06;7.666666666666667
Vox Lux;Drama;English, Croatian, Chinese;Movie;1;1-2 hour;5.9;6.1;6.7;2.0;12.0;1;2019-07-05;6.233333333333334
Pitch Perfect 3;Comedy;English, Papiamento;Movie;3;1-2 hour;5.8;2.9;4.0;5.0;9.0;2;2019-07-05;4.233333333333333
The Possession Of Hannah Grace;Horror;English;Movie;15;1-2 hour;5.2;1.8;3.7;0.0;3.0;1;2019-07-05;3.566666666666667
North Country;Drama;English;Movie;6;> 2 hrs;7.3;6.9;6.8;6.0;19.0;1;2019-07-01;7.0
War for the Planet of the Apes;Action;English, American Sign Language;Movie;2;> 2 hrs;7.4;9.4;8.2;3.609665427509294;6.350078492935636;2;2019-07-01;8.333333333333334
Dead Calm;Horror;English;Movie;2;1-2 hour;6.8;8.3;7.0;5.0;6.0;1;2019-07-01;7.366666666666667
Basmati Blues;Comedy;English;Movie;1;1-2 hour;3.6;1.0;3.0;0.0;0.0;NAO_DEFINIDO;2019-07-01;2.533333333333333
Executive Decision;Action;English, Arabic;Movie;5;> 2 hrs;6.4;6.5;6.2;2.0;2.0;2;2019-07-01;6.366666666666667
Creed II;Drama;English, Russian, Sign Languages;Movie;5;> 2 hrs;7.1;8.3;6.6;1.0;12.0;2;2019-06-29;7.333333333333333
Three Identical Strangers;Documentary;English;Movie;14;1-2 hour;7.6;9.7;8.1;11.0;6.350078492935636;1;2019-06-29;8.466666666666667
Shaft;Action;English;Movie;34;1-2 hour;6.4;3.3;4.0;0.0;0.0;1;2019-06-28;4.566666666666666
Family Business;Crime;English;Series;36;< 30 minutes;5.8;3.8;5.4;0.0;0.0;1;2019-06-28;5.0
Spider-Man: Into the Spider-Verse;Animation;English, Spanish;Movie;15;1-2 hour;8.4;9.7;8.7;3.609665427509294;6.350078492935636;2;2019-06-28;8.933333333333334
Unbroken;Action;English, Japanese, Italian;Movie;18;1-2 hour;7.2;5.1;5.9;3.609665427509294;6.350078492935636;2;2019-06-26;6.066666666666667
The Front Line;Action;Korean, English;Movie;1;> 2 hrs;7.4;6.7;5.9;3.609665427509294;6.350078492935636;1;2019-06-24;6.666666666666667
Jules and Jim;Drama;French, German, English;Movie;1;1-2 hour;7.8;9.3;9.7;3.0;4.0;1;2019-06-22;8.933333333333334
Beats;Comedy;English;Movie;36;1-2 hour;7.1;9.8;7.4;5.0;9.0;NAO_DEFINIDO;2019-06-19;8.1
The Edge of Democracy;Documentary;Portuguese, English;Movie;36;> 2 hrs;7.2;9.7;8.1;3.0;14.0;NAO_DEFINIDO;2019-06-19;8.333333333333334
The Nun;Horror;English, French, Romanian, Latin;Movie;8;1-2 hour;5.3;2.5;4.6;2.0;1.0;2;2019-06-19;4.133333333333333
Smallfoot;Animation;English, Mandarin;Movie;9;1-2 hour;6.6;7.6;6.0;1.0;15.0;2;2019-06-19;6.733333333333333
Its the Law;Horror;English, Hebrew;Movie;1;1-2 hour;7.3;8.6;6.9;8.0;6.350078492935636;1;2019-06-19;7.599999999999999
Big Kill;Action;English;Movie;2;> 2 hrs;5.3;2.2;4.2;1.0;0.0;NAO_DEFINIDO;2019-06-18;3.9
Roman Holiday;Comedy;English, Italian, German;Movie;1;1-2 hour;8.0;9.7;7.8;11.0;16.0;NAO_DEFINIDO;2019-06-17;8.5
Little Italy;Comedy;English, Italian, Latin;Movie;6;1-2 hour;5.7;1.4;2.8;0.0;0.0;1;2019-06-15;3.3000000000000003
Gifted;Drama;English;Movie;3;1-2 hour;7.6;7.3;6.0;6.0;7.0;1;2019-06-15;6.966666666666666
Murder Mystery;Action;English, French, Latin, Spanish;Movie;36;1-2 hour;6.0;4.4;3.8;1.0;6.0;NAO_DEFINIDO;2019-06-14;4.733333333333333
Professor Marston and the Wonder Women;Biography;English;Movie;2;1-2 hour;7.1;8.7;6.8;0.0;8.0;1;2019-06-14;7.533333333333332
BlacKkKlansman;Biography;English;Movie;9;> 2 hrs;7.5;9.6;8.3;3.609665427509294;6.350078492935636;1;2019-06-13;8.466666666666667
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese;Documentary;English;Movie;36;> 2 hrs;7.6;9.2;8.6;2.0;12.0;NAO_DEFINIDO;2019-06-12;8.466666666666667
Crazy Rich Asians;Comedy;English, Mandarin, Cantonese, Hokkien, French, Malay;Movie;7;> 2 hrs;6.9;9.1;7.4;3.609665427509294;6.350078492935636;2;2019-06-12;7.8
Mamma Mia! Here We Go Again;Comedy;English, French, Greek;Movie;7;1-2 hour;6.6;7.9;6.0;0.0;12.0;2;2019-06-08;6.833333333333333
The Black Godfather;Documentary;English;Movie;36;1-2 hour;7.4;10.0;6.9;4.0;5.0;NAO_DEFINIDO;2019-06-07;8.1
I Am Mother;Drama;English;Movie;32;1-2 hour;6.7;9.1;6.4;4.0;5.0;NAO_DEFINIDO;2019-06-07;7.400000000000001
Freezers Campaign;Action;English;Movie;36;1-2 hour;5.2;3.3;4.0;0.0;0.0;NAO_DEFINIDO;2019-06-06;4.166666666666667
Its Okay, Buddy;Horror;English, Hebrew;Movie;34;1-2 hour;7.3;8.6;6.9;8.0;6.350078492935636;1;2019-06-05;7.599999999999999
Dr. Seuss The Grinch;Animation;English;Movie;17;1-2 hour;6.3;5.9;5.1;1.0;18.0;2;2019-06-05;5.766666666666666
Climax;Drama;French, English;Movie;6;1-2 hour;7.0;6.8;6.7;5.0;8.0;1;2019-06-05;6.833333333333333
The Female Brain;Comedy;English;Movie;4;1-2 hour;5.8;3.5;4.1;0.0;0.0;1;2019-06-05;4.466666666666666
Happy Death Day;Comedy;English;Movie;3;1-2 hour;6.6;7.1;5.8;0.0;3.0;2;2019-06-05;6.5
The Quake;Action;Norwegian;Movie;1;1-2 hour;6.2;8.5;7.0;2.0;7.0;1;2019-06-01;7.233333333333333
Speed Kills;Action;English, Spanish;Movie;1;1-2 hour;4.2;0.0;1.9;2.0;0.0;NAO_DEFINIDO;2019-06-01;2.033333333333333
Then Came You;Adventure;;Movie;3;1-2 hour;7.0;5.9;4.4;0.0;0.0;NAO_DEFINIDO;2019-06-01;5.766666666666667
Marrowbone;Drama;English;Movie;6;1-2 hour;6.7;4.9;6.3;2.0;2.0;1;2019-06-01;5.966666666666666
Peppermint;Action;English, Spanish;Movie;9;1-2 hour;6.5;1.2;2.9;0.0;4.0;1;2019-06-01;3.533333333333333
The Post;Drama;English;Movie;16;1-2 hour;7.2;8.8;8.3;3.609665427509294;6.350078492935636;2;2019-06-01;8.1
The Big Sick;Comedy;English, Urdu;Movie;2;1-2 hour;7.5;9.8;8.6;3.609665427509294;6.350078492935636;1;2019-06-01;8.633333333333335
All the Money in the World;Biography;English, Italian, Arabic;Movie;13;> 2 hrs;6.8;8.0;7.2;0.0;15.0;1;2019-06-01;7.333333333333333
Trading Paint;Action;English;Movie;1;1-2 hour;4.4;0.0;3.4;1.0;0.0;NAO_DEFINIDO;2019-06-01;2.6
Buena Vista Social Club: Adios;Documentary;English, Spanish;Movie;1;1-2 hour;6.9;7.0;6.7;0.0;0.0;1;2019-06-01;6.866666666666667
Blindspotting;Comedy;English;Movie;1;1-2 hour;7.4;9.4;7.7;7.0;18.0;1;2019-06-01;8.166666666666666
Always Be My Maybe;Comedy;English;Movie;36;1-2 hour;6.8;8.9;6.4;1.0;2.0;NAO_DEFINIDO;2019-05-31;7.366666666666667
Hunter Killer;Action;English, Russian;Movie;5;> 2 hrs;6.6;3.7;4.3;1.0;0.0;1;2019-05-29;4.866666666666666
The Meg;Action;English, Mandarin, Thai, Japanese;Movie;8;1-2 hour;5.6;4.5;4.6;4.0;6.0;2;2019-05-28;4.8999999999999995
Hotel Artemis;Action;English, French;Movie;10;1-2 hour;6.1;5.8;5.8;1.0;1.0;1;2019-05-25;5.8999999999999995
Booksmart;Comedy;English, Mandarin, Spanish;Movie;4;1-2 hour;7.2;9.6;8.4;3.609665427509294;6.350078492935636;1;2019-05-24;8.4
Mission: Impossible - Fallout;Action;English, French;Movie;13;> 2 hrs;7.7;9.7;8.6;3.609665427509294;6.350078492935636;2;2019-05-21;8.666666666666666
Ben Is Back;Drama;English;Movie;1;1-2 hour;6.7;8.2;6.6;2.0;10.0;1;2019-05-20;7.166666666666667
Agatha Christies Crooked House;Crime;English;Movie;3;1-2 hour;6.3;5.7;5.9;2.0;1.0;NAO_DEFINIDO;2019-05-20;5.966666666666666
Matangi/Maya/M.I.A.;Documentary;English;Movie;1;1-2 hour;7.6;8.9;7.0;4.0;11.0;1;2019-05-17;7.833333333333333
See You Yesterday;Action;English;Movie;36;1-2 hour;5.2;9.5;7.4;2.0;2.0;NAO_DEFINIDO;2019-05-17;7.366666666666667
Support the Girls;Comedy;English;Movie;1;1-2 hour;6.4;9.1;8.5;8.0;19.0;1;2019-05-15;8.0
RBG;Documentary;English, Italian, German, French;Movie;6;1-2 hour;7.6;9.3;7.1;3.609665427509294;6.350078492935636;1;2019-05-15;8.0
Atomic Blonde;Action;English, German, Russian, Swedish;Movie;9;1-2 hour;6.7;7.8;6.3;10.0;18.0;2;2019-05-15;6.933333333333334
Kin;Action;English;Movie;3;1-2 hour;5.8;3.4;3.5;0.0;3.0;1;2019-05-12;4.233333333333333
The Snowman;Crime;English, Russian;Movie;4;1-2 hour;5.1;0.7;2.3;0.0;1.0;1;2019-05-12;2.6999999999999997
Skyscraper;Action;English, Cantonese, Mandarin;Movie;9;1-2 hour;5.8;4.8;5.1;0.0;4.0;2;2019-05-11;5.233333333333333
Breaking In;Action;English;Movie;7;1-2 hour;5.5;2.7;4.2;1.0;1.0;1;2019-05-11;4.133333333333333
Wine Country;Adventure;English;Movie;36;1-2 hour;5.4;6.6;5.6;0.0;1.0;NAO_DEFINIDO;2019-05-10;5.866666666666667
The Day He Arrives;Comedy;Korean;Movie;1;1-2 hour;7.0;9.1;8.3;3.0;5.0;1;2019-05-10;8.133333333333333
Sgt. Stubby: An American Hero;Animation;English, French, German;Movie;1;1-2 hour;6.9;8.9;5.8;3.609665427509294;7.0;1;2019-05-10;7.2
Okis Movie;Comedy;Korean;Movie;1;1-2 hour;6.8;8.2;7.8;5.0;3.0;NAO_DEFINIDO;2019-05-10;7.599999999999999
Lovely, Still;Drama;English;Movie;1;1-2 hour;7.1;7.3;5.7;0.0;3.0;1;2019-05-10;6.7
Mapplethorpe: Look at the Pictures;Documentary;English;Movie;1;1-2 hour;7.5;9.7;7.5;0.0;10.0;NAO_DEFINIDO;2019-05-10;8.233333333333333
Liz and the Blue Bird;Animation;Japanese, English;Movie;1;1-2 hour;7.2;8.2;6.7;1.0;4.0;1;2019-05-10;7.366666666666667
Bathtubs Over Broadway;Documentary;English;Movie;9;1-2 hour;7.5;10.0;7.8;3.609665427509294;13.0;NAO_DEFINIDO;2019-05-09;8.433333333333334
Mid90s;Comedy;English;Movie;3;1-2 hour;7.4;8.0;6.6;4.0;10.0;1;2019-05-08;7.333333333333333
Blue Iguana;Action;English;Movie;1;1-2 hour;5.6;3.9;3.0;0.0;0.0;NAO_DEFINIDO;2019-05-08;4.166666666666667
The Haunting of Sharon Tate;Drama;English;Movie;2;1-2 hour;2.8;1.9;0.8;4.0;4.0;NAO_DEFINIDO;2019-05-04;1.8333333333333333
Extremely Wicked, Shockingly Evil and Vile;Biography;English;Movie;18;1-2 hour;6.6;5.4;5.2;5.0;5.0;NAO_DEFINIDO;2019-05-03;5.733333333333334
Diary of a Wimpy Kid: The Long Haul;Comedy;English, Spanish;Movie;2;1-2 hour;4.3;1.8;3.9;0.0;1.0;1;2019-05-02;3.3333333333333335
Prospect;Drama;English;Movie;7;1-2 hour;6.3;8.8;6.8;6.0;10.0;NAO_DEFINIDO;2019-05-02;7.3
The Little Stranger;Drama;English;Movie;15;1-2 hour;5.5;6.5;6.7;0.0;3.0;1;2019-05-01;6.233333333333333
Wildlife;Drama;English;Movie;3;1-2 hour;6.8;9.3;8.0;6.0;6.350078492935636;1;2019-05-01;8.033333333333333
Elliot the Littlest Reindeer;Animation;English;Movie;3;1-2 hour;5.1;2.9;3.8;0.0;0.0;1;2019-05-01;3.933333333333333
Knock Down The House;Documentary;English;Movie;35;1-2 hour;7.1;9.9;8.0;6.0;11.0;NAO_DEFINIDO;2019-05-01;8.333333333333334
White Boy Rick;Crime;English;Movie;15;1-2 hour;6.5;5.7;5.9;0.0;1.0;1;2019-05-01;6.033333333333334
The Wandering Earth;Action;Mandarin, English, Russian, French, Japanese, Korean, Indonesian, Hindi;Movie;36;> 2 hrs;6.0;7.0;5.7;3.609665427509294;6.350078492935636;1;2019-04-30;6.233333333333333
The Hateful Eight: Extended Version;Crime;English, Spanish, French;Series;1;< 30 minutes;7.8;7.4;6.8;3.609665427509294;6.350078492935636;2;2019-04-25;7.333333333333333
Goosebumps 2: Haunted Halloween;Adventure;English;Movie;9;1-2 hour;5.6;4.7;5.3;0.0;0.0;1;2019-04-25;5.199999999999999
The First Purge;Action;English, French, Spanish;Movie;7;1-2 hour;5.2;5.6;5.4;0.0;1.0;2;2019-04-24;5.400000000000001
Down a Dark Hall;Drama;English;Movie;8;1-2 hour;5.1;4.8;5.6;0.0;1.0;NAO_DEFINIDO;2019-04-22;5.166666666666667
Teen Titans Go! To the Movies;Animation;English;Movie;9;1-2 hour;6.8;9.1;6.9;0.0;9.0;1;2019-04-22;7.599999999999999
Oceans 8;Action;English, Hindi, French, German, Mandarin;Movie;9;1-2 hour;6.8;6.9;6.1;3.0;14.0;2;2019-04-22;6.599999999999999
The Last Resort;Documentary;English;Movie;1;1-2 hour;7.3;9.2;7.6;0.0;0.0;1;2019-04-21;8.033333333333333
Time Trap;Action;English;Movie;22;1-2 hour;6.3;5.8;4.6;1.0;1.0;NAO_DEFINIDO;2019-04-21;5.566666666666666
Siberia;Crime;English, Russian;Movie;6;1-2 hour;4.3;1.2;3.4;0.0;3.0;NAO_DEFINIDO;2019-04-19;2.9666666666666663
Someone Great;Comedy;English;Movie;36;1-2 hour;6.2;8.2;6.3;0.0;0.0;NAO_DEFINIDO;2019-04-19;6.8999999999999995
Sheikh Jackson;Drama;Arabic;Movie;1;1-2 hour;7.0;7.5;6.3;1.0;4.0;NAO_DEFINIDO;2019-04-19;6.933333333333334
Life Itself;Drama;English, Spanish;Movie;3;1-2 hour;6.8;1.3;2.1;2.0;4.0;1;2019-04-17;3.4000000000000004
Josie;Drama;English;Movie;1;1-2 hour;5.1;1.3;3.1;2.0;0.0;NAO_DEFINIDO;2019-04-17;3.1666666666666665
Jonathan;Drama;English;Movie;3;1-2 hour;5.9;6.3;6.2;2.0;1.0;NAO_DEFINIDO;2019-04-16;6.133333333333334
Mile 22;Action;English, Russian, Indonesian, Filipino;Movie;8;1-2 hour;6.1;2.3;3.8;1.0;0.0;1;2019-04-16;4.066666666666666
The Happytime Murders;Action;English;Movie;6;1-2 hour;5.4;2.4;2.7;2.0;10.0;1;2019-04-16;3.5000000000000004
Truth or Dare: Extended Directors Cut;Horror;English, Spanish;Movie;7;1-2 hour;5.2;1.6;3.5;1.0;4.0;1;2019-04-16;3.433333333333333
The New Romantic;Comedy;English;Movie;2;1-2 hour;5.7;6.3;5.5;1.0;3.0;NAO_DEFINIDO;2019-04-15;5.833333333333333
Blaze;Biography;English;Movie;1;> 2 hrs;6.6;9.5;7.5;4.0;12.0;1;2019-04-15;7.866666666666667
Thriller;Crime;English;Movie;2;1-2 hour;3.6;4.0;2.8;0.0;0.0;NAO_DEFINIDO;2019-04-14;3.466666666666667
Buffalo Boys;Action;Indonesian, English;Movie;2;1-2 hour;5.8;7.9;4.8;0.0;1.0;NAO_DEFINIDO;2019-04-12;6.166666666666667
A Land Imagined;Drama;Bengali, English, Mandarin;Movie;28;1-2 hour;6.3;7.5;5.9;3.609665427509294;14.0;NAO_DEFINIDO;2019-04-12;6.566666666666666
Tully;Comedy;English;Movie;5;1-2 hour;7.0;8.7;7.5;3.0;6.350078492935636;1;2019-04-10;7.733333333333333
Blockers;Comedy;English;Movie;7;1-2 hour;6.2;8.4;6.9;1.0;6.0;2;2019-04-10;7.166666666666667
Mercy Black;Horror;English;Movie;2;1-2 hour;4.9;4.5;4.8;0.0;0.0;NAO_DEFINIDO;2019-04-09;4.733333333333333
The Oath;Comedy;English;Movie;1;1-2 hour;5.5;6.3;5.8;0.0;0.0;1;2019-04-09;5.866666666666667
Between Worlds;Fantasy;English;Movie;2;1-2 hour;4.1;3.2;2.4;0.0;0.0;NAO_DEFINIDO;2019-04-08;3.233333333333333
The Beguiled;Drama;English, French;Movie;2;1-2 hour;6.3;7.9;7.7;5.0;6.350078492935636;1;2019-04-04;7.3
Jurassic World: Fallen Kingdom;Action;English, Russian;Movie;6;> 2 hrs;6.2;4.7;5.1;4.0;6.350078492935636;2;2019-04-04;5.333333333333333
Paul, Apostle of Christ;Adventure;English;Movie;8;1-2 hour;6.6;4.6;5.2;3.0;3.0;1;2019-04-03;5.466666666666666
Leave No Trace;Drama;English;Movie;5;1-2 hour;7.2;10.0;8.8;3.609665427509294;6.350078492935636;1;2019-04-02;8.666666666666666
Snatched;Action;English, Spanish;Movie;2;1-2 hour;4.5;3.6;4.5;2.0;2.0;1;2019-04-01;4.2
Novitiate;Drama;English, American Sign Language, Latin;Movie;1;> 2 hrs;6.7;8.6;7.3;5.0;13.0;1;2019-04-01;7.533333333333334
Just Getting Started;Comedy;English;Movie;5;1-2 hour;4.5;0.4;2.1;0.0;0.0;1;2019-04-01;2.3333333333333335
Where Hands Touch;Drama;English;Movie;1;> 2 hrs;6.3;4.3;4.4;0.0;3.0;1;2019-04-01;5.0
Golden Exits;Drama;English;Movie;1;1-2 hour;5.8;6.7;7.1;1.0;6.0;1;2019-04-01;6.533333333333332
Fonzy;Comedy;French, Spanish;Movie;2;1-2 hour;5.2;6.7;5.5;0.0;0.0;NAO_DEFINIDO;2019-04-01;5.8
Sicario: Day of the Soldado;Action;English, Spanish, American Sign Language, Arabic, Somali;Movie;9;> 2 hrs;7.1;6.3;6.1;1.0;7.0;2;2019-03-31;6.5
The Spy Who Dumped Me;Action;English, Russian, French, Lithuanian, German;Movie;5;1-2 hour;6.0;4.9;5.2;3.0;4.0;1;2019-03-31;5.366666666666667
Black 47;Action;English, Irish;Movie;2;1-2 hour;6.8;7.8;6.5;2.0;5.0;1;2019-03-31;7.033333333333334
Detroit;Crime;English;Movie;3;> 2 hrs;7.3;8.2;7.7;5.0;19.0;1;2019-03-31;7.733333333333333
Venom;Action;English, Mandarin, Malay;Movie;7;1-2 hour;6.7;3.0;3.5;3.0;9.0;2;2019-03-29;4.3999999999999995
McQueen;Documentary;English, French;Movie;1;1-2 hour;7.8;9.9;8.4;1.0;11.0;1;2019-03-29;8.700000000000001
The Miseducation of Cameron Post;Drama;English;Movie;3;1-2 hour;6.6;8.6;6.9;5.0;15.0;1;2019-03-29;7.366666666666667
The Legend of Cocaine Island;Documentary;English;Movie;35;1-2 hour;6.3;7.8;4.4;2.0;1.0;NAO_DEFINIDO;2019-03-29;6.166666666666667
The Highwaymen;Biography;English, Spanish;Movie;36;> 2 hrs;6.9;5.8;5.8;0.0;2.0;NAO_DEFINIDO;2019-03-29;6.166666666666667
American Made;Action;English, Spanish;Movie;3;1-2 hour;7.2;8.5;6.5;0.0;3.0;2;2019-03-24;7.3999999999999995
Piercing;Horror;English;Movie;3;1-2 hour;5.6;7.3;6.3;4.0;8.0;1;2019-03-23;6.3999999999999995
Triple Threat;Action;English, Mandarin, Thai;Movie;7;1-2 hour;5.6;6.9;6.0;0.0;0.0;1;2019-03-22;6.166666666666667
The Death of Stalin;Comedy;English;Movie;2;1-2 hour;7.2;9.5;8.8;3.609665427509294;6.350078492935636;1;2019-03-22;8.5
Social Animals;Comedy;English;Movie;4;1-2 hour;5.3;3.8;3.7;0.0;0.0;1;2019-03-19;4.266666666666667
Slender Man;Horror;English;Movie;6;1-2 hour;3.2;0.8;3.0;0.0;3.0;1;2019-03-18;2.3333333333333335
The Equalizer 2;Action;English, French, Turkish, Hebrew, Arabic, Spanish;Movie;6;> 2 hrs;6.7;5.1;5.0;1.0;4.0;2;2019-03-18;5.599999999999999
All About Nina;Comedy;English;Movie;9;1-2 hour;6.1;8.6;7.0;0.0;2.0;1;2019-03-18;7.233333333333333
Open Grave;Horror;English;Movie;4;1-2 hour;6.2;2.2;3.3;0.0;2.0;NAO_DEFINIDO;2019-03-17;3.9
Tag;Action;English, Spanish;Movie;6;1-2 hour;6.5;5.6;5.6;0.0;2.0;2;2019-03-16;5.8999999999999995
Acrimony;Thriller;English;Movie;5;> 2 hrs;5.8;1.7;3.2;1.0;1.0;1;2019-03-15;3.5666666666666664
Mary Magdalene;Biography;English, Hebrew;Movie;2;1-2 hour;5.9;4.5;4.8;2.0;5.0;1;2019-03-14;5.066666666666666
Triple Frontier;Action;English, Spanish, Portuguese;Movie;36;> 2 hrs;6.4;7.1;6.1;0.0;3.0;NAO_DEFINIDO;2019-03-13;6.533333333333334
All Saints;Drama;English;Movie;8;1-2 hour;6.1;9.5;6.3;1.0;1.0;1;2019-03-11;7.3
River Runs Red;Action;English, Mandarin, Spanish;Movie;1;1-2 hour;4.6;2.2;2.6;3.0;1.0;1;2019-03-10;3.133333333333333
On Chesil Beach;Drama;English;Movie;1;1-2 hour;6.3;6.8;6.2;0.0;0.0;1;2019-03-10;6.433333333333334
Serenity;Drama;English, French;Movie;4;1-2 hour;5.4;2.0;3.7;3.0;5.0;1;2019-03-09;3.7000000000000006
In a Relationship;Comedy;English;Movie;4;1-2 hour;5.5;6.0;5.1;0.0;0.0;NAO_DEFINIDO;2019-03-09;5.533333333333334
The Solutrean;Action;English;Movie;7;1-2 hour;6.7;8.0;6.3;1.0;0.0;1;2019-03-08;7.0
Pacific Rim: Uprising;Action;English, Mandarin, Russian;Movie;5;1-2 hour;5.6;4.3;4.4;0.0;6.0;2;2019-03-04;4.766666666666667
The Dawn Wall;Documentary;English;Movie;36;1-2 hour;8.1;10.0;8.1;6.0;6.0;1;2019-03-04;8.733333333333333
I Am;Documentary;English;Movie;17;1-2 hour;7.5;3.6;3.8;2.0;0.0;1;2019-03-03;4.966666666666667
Pick of the Litter;Documentary;English;Movie;2;1-2 hour;7.5;9.7;6.4;8.0;4.0;1;2019-03-01;7.866666666666667
