Titulo;Genero;Linguagens;Categoria;Disponibilidade_Geografica;Duracao;IMDb_Score;Rotten_Tomatoes_Score;Metacritic_Score;Premios_Recebidos;Premios_Indicados;Receita_Bilheteria;Data_Lancamento_Netflix;Total_Score
Ghost Stories;Drama;English;Movie;36;> 2 hrs;6.4;8.5;6.8;1.0;7.0;1;2019-12-31;7.233333333333333
Mrs. Lowry and Son;Biography;English;Movie;2;1-2 hour;6.7;6.2;4.2;0.0;1.0;NAO_DEFINIDO;2019-12-31;5.7
John Wick: Chapter 3 - Parabellum;Action;English, Russian, Japanese, Indonesian, Mandarin, Italian, Arabic, Latin;Movie;9;> 2 hrs;7.4;8.9;7.3;3.609665427509294;6.350078492935636;1;2019-12-31;7.866666666666667
Ask Dr. Ruth;Documentary;English;Movie;5;1-2 hour;7.6;9.2;6.8;3.0;5.0;1;2019-12-31;7.866666666666666
Us;Horror;English;Movie;12;1-2 hour;6.8;9.3;8.1;3.609665427509294;6.350078492935636;1;2019-12-31;8.066666666666666
Whos the Woman, Whos the Man;Action;English, German;Movie;3;1-2 hour;6.6;5.2;5.9;3.609665427509294;6.350078492935636;1;2019-12-31;5.8999999999999995
Running with the Devil;Crime;English, Spanish;Movie;2;1-2 hour;5.4;2.4;4.2;0.0;0.0;NAO_DEFINIDO;2019-12-30;4.000000000000001
The Secret Life of Pets 2;Animation;English;Movie;5;1-2 hour;6.5;6.0;5.5;0.0;11.0;1;2019-12-27;6.0
Penguin Highway;Animation;Japanese, English;Movie;3;1-2 hour;7.1;10.0;8.2;0.0;4.0;1;2019-12-27;8.433333333333332
MFKZ;Animation;French, Spanish, English;Movie;1;1-2 hour;6.7;3.9;4.8;0.0;3.0;1;2019-12-25;5.133333333333334
Thunder Road;Comedy;English;Movie;2;1-2 hour;7.1;9.6;7.9;3.609665427509294;14.0;NAO_DEFINIDO;2019-12-25;8.200000000000001
Fighting with My Family;Biography;English;Movie;1;1-2 hour;7.1;9.3;6.8;11.0;4.0;1;2019-12-25;7.733333333333333
Jacobs Ladder;Horror;English;Movie;2;1-2 hour;3.5;0.4;3.1;0.0;0.0;NAO_DEFINIDO;2019-12-22;2.3333333333333335
First Reformed;Drama;English;Movie;8;1-2 hour;7.1;9.3;8.5;3.609665427509294;6.350078492935636;1;2019-12-21;8.299999999999999
